image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,12,6,2,0.08,22.88,0.38062631991584017,0.4145434487910505,0.03391712887521031,0.19040543813485172,0.06766371112870681,0.7848104614214169,0.95,percentile,500,271,True
roi,1,1,1,1,0.09,23.490000000000002,-0.4084914249154159,-0.3654150455173824,0.04307637939803349,0.37741032932868757,-1.0752271902969668,0.36663550481727586,0.95,percentile,500,272,True
roi,1,2,2,1,0.09,23.490000000000002,0.6342172930142554,0.6180740385009066,-0.01614325451334886,0.3337182187763653,-0.07035029503369292,1.2573080521519544,0.95,percentile,500,272,True
roi,1,3,3,1,0.09,23.490000000000002,-0.268473919037153,-0.27265208932105356,-0.004178170283900551,0.2737927301166462,-0.7623075547529282,0.2420164712456365,0.95,percentile,500,272,True
roi,1,4,4,1,0.09,23.490000000000002,-0.1337867580414881,-0.12485188749482999,0.008934870546658105,0.26842197438042975,-0.6255906296051914,0.41420978172609535,0.95,percentile,500,272,True
roi,1,5,5,1,0.09,23.490000000000002,0.18940515588060114,0.1504730240906016,-0.03893213178999955,0.2029681497229196,-0.26323400302696204,0.5186128252410535,0.95,percentile,500,272,True
roi,1,6,6,1,0.09,23.490000000000002,0.1639540998606169,0.2249761031566922,0.061022003296075294,0.17566927508382776,-0.12423503311910002,0.5735473000405992,0.95,percentile,500,272,True
roi,1,7,1,2,0.09,23.490000000000002,-0.06610199220131986,-0.0037581704178741866,0.06234382178344568,0.26832840500771665,-0.5378427488795238,0.4855130922819825,0.95,percentile,500,272,True
roi,1,8,2,2,0.09,23.490000000000002,0.08459144391203154,0.03491929388636811,-0.04967215002566343,0.27381004736181835,-0.5134713773730254,0.5200029237453045,0.95,percentile,500,272,True
roi,1,9,3,2,0.09,23.490000000000002,0.6521342254512826,0.6741971916578017,0.02206296620651904,0.2953166720801354,0.17521351076909744,1.3215417465756285,0.95,percentile,500,272,True
roi,1,10,4,2,0.09,23.490000000000002,-0.9586001688908893,-0.9985867068177998,-0.03998653792691054,0.31553289828205394,-1.6815699572056353,-0.43896188206582004,0.95,percentile,500,272,True
roi,1,11,5,2,0.09,23.490000000000002,-0.4730990880661834,-0.5092227544167218,-0.03612366635053843,0.2537615486309969,-1.04445835921739,-0.07199085377068873,0.95,percentile,500,272,True
roi,1,12,6,2,0.09,23.490000000000002,0.3879212308858122,0.4224361190446148,0.034514888158802604,0.18639855779670503,0.08570835366139264,0.7832364365548429,0.95,percentile,500,272,True
roi,1,1,1,1,0.1,24.1,-0.3942359227645582,-0.3520681095033288,0.042167813261229425,0.36853214343105156,-1.0498888175772514,0.3614660140161344,0.95,percentile,500,272,True
roi,1,2,2,1,0.1,24.1,0.6137699615096316,0.5988370996526068,-0.014932861857024804,0.3250725571543955,-0.0716651312943919,1.222696854779493,0.95,percentile,500,272,True
roi,1,3,3,1,0.1,24.1,-0.2568359454510735,-0.2615273840336917,-0.004691438582618168,0.26675734569156195,-0.7391588854047407,0.23449236423179526,0.95,percentile,500,272,True
roi,1,4,4,1,0.1,24.1,-0.12270707728907498,-0.11374638332147023,0.008960693967604752,0.26215430697953757,-0.5975014155059519,0.40519227246316897,0.95,percentile,500,272,True
roi,1,5,5,1,0.1,24.1,0.17094651325199567,0.13120930363208802,-0.03973720961990765,0.1984841101659329,-0.27054131170888956,0.4991556393004792,0.95,percentile,500,272,True
roi,1,6,6,1,0.1,24.1,0.1789238372298889,0.24014636250476687,0.06122252527487798,0.17225544628648948,-0.10734037104684294,0.582619382695495,0.95,percentile,500,272,True
roi,1,7,1,2,0.1,24.1,-0.061535663205093113,-0.0005134215582294513,0.061022241646863665,0.2629174338305573,-0.5244388024070544,0.47399618442678054,0.95,percentile,500,272,True
